,breed,male_h,female_h,male_w,female_w,w_kid,in_out_door
57,Hound-Mix,,,,,,
58,SCHNAUZER,,,,,,
59,fox-terrier-mix,,,,,,
60,DACHSHAUN,,,,,,
61,LAB,,,,,,
62,CHOW-CHOW,"[17, 22]","[17, 22]",[],[],,
63,shepherd,,,,,,
64,collie-mix,,,,,,
65,Collie,[24],[22],"[60, 75]","[50, 65]"," Most collies are good with children
and other pets if thoroughly socialized when they
are puppies. They are gentle and tolerant and will
stay with children at play for hours on end. If
raised with children, they will have a high desire
to be with children and â€ścare forâ€ť them
because of their herding background.",
66,Retriever,,,,,,
67,Yorkshire,,,,,,
68,GOLDEN-RETR,,,,,,
69,CORGY-MIX,,,,,,
70,Tibetan-Terrier,"[14, 17]","[14, 17]",[],[], He does best with older children.,
71,Havanese-Mix,,,,,,
72,Cocker-Spaniel,[15],[14],"[15, 30, 14]","[15, 30, 14]","Cockers are extremely sociable dogs, with a strong need to please. So they make fantastic family pets and well-suited to raising with children. ",
73,Poodle-Mix,,,,,,
74,Staffordshire,,,,,,
75,Pit,,,,,,
76,IR-TERR,,,,,,
77,BAS-HOU,,,,,,
78,BICHON-F,,,,,,
79,T-PDLE,,,,,,
80,LHASA,,,,,,
81,Australian-Mix,,,,,,
82,SHIH-TZU,,,,,,
83,SPANIEL,,,,,,
84,Whippet,[19],[18],[30],[25],,
85,Shih-Tzu-Mix,,,,,,
86,YORKSHI,,,,,,
87,labrador-retriever,"[22, 25]","[21, 24]","[60, 80, 100]","[55, 70]",,
88,mix,,,,,,
89,Blue-Nose-Pit-Bull,,,,,,
90,RETRIEV-X,,,,,,
91,Chow-Chow,"[17, 22]","[17, 22]",[],[],,
92,Bull-Terr.Mix,,,,,,
93,PITBULL,,,,,,
94,MASTIFF-MIX,,,,,,
95,FOX-TER,,,,,,
96,C.SPAN,,,,,,
97,YORKER,,,,,,
98,JACKRUSELL,,,,,,
99,CHIHUAHAUA-MIX,,,,,,
100,MIN-SCHNAUZER,,,,,,
101,MIN-POODLE,,,,,,
102,COLLIE,[24],[22],"[60, 75]","[50, 65]"," Most collies are good with children
and other pets if thoroughly socialized when they
are puppies. They are gentle and tolerant and will
stay with children at play for hours on end. If
raised with children, they will have a high desire
to be with children and â€ścare forâ€ť them
because of their herding background.",
103,SHEP-MIX,,,,,,
104,SHIBA-INU--X,,,,,,
105,Cocker-Spaniel-Mix,,,,,,
106,Corgi-Mix,,,,,,
107,YORKY,,,,,,
108,Border-Collie,[],[],"[30, 45]","[30, 45]"," Historically, Border Collies
were kept due to their natural inclination
for work and high level of energy. In addition, Border Collies were easy to train due to their above-average level of intelligence. As puppies, they easily
socialize with people and other animals. However, when
Border Collies are house pets, they maintain
the herding instinct. It is not uncommon to
see these dogs attempt to herd small animals,
family members, and even large vehicles into
a specific area of the house or yard. They
will try to herd children out of a swimming
pool! Therefore, these dogs are not suitable for households with small kids.",
109,Heeler-Mix,,,,,,
110,Coonhound,,,,,,
111,Shepherd-Mix,,,,,,
112,HUSKY,,,,,,
113,KELPIE,,,,,,
114,JACK-RUSSELL--X,,,,,,
115,DOXIE,,,,,,
116,pomeranian-mix,,,,,,
117,Jack-Russell,,,,,,
118,Pug-Mix,,,,,,
119,Peke-A-Poo,,,,,,
120,Shih-Poo,"[8, 13]","[8, 13]","[13, 20]","[13, 20]",Shih-poos love to play with kids. Kids should be supervised with the Shih-poo until they learn to play gently and not squeeze too hard when hugging.,"The Shih-Poo is a great indoor dog who can even live happily in an apartment or RV if he gets walks to meet people, explore his surroundings, and go potty. It is best to keep him on a leash to protect him from larger dogs and animals. He can be happy in a house with a fenced yard â€“ and getting a walk or two a day. "
121,English-Bull-Dog,,,,,,
122,Yorkshire-Terrier,"[7, 9]","[7, 9]","[4, 7]","[3, 7]",,
123,CHIH,,,,,,
124,POO,,,,,,
125,Havenese,,,,,,
126,MIXED,,,,,,
127,AUSTRALIAN-TERRIER,"[9, 11, 28]","[9, 11, 28]","[9, 14, 6]","[9, 14, 6]",,
128,German-shepherd,"[24, 26]","[22, 24]","[75, 90]","[75, 90]",,
129,Corgi,,,,,,
130,Xoloitzcuintli,,,,,,
131,Basset-Hound,[],[],"[50, 70, 45, 60]","[50, 70, 45, 60]","Since Basset Hounds are sweet-tempered, affectionate and friendly and relaxed in temperament, they are very well-suited to families with children. They typically enjoy being around kids and are very gentle with them. However, since they have a laid back attitude, Bassets often need to be protected from being tormented by young children!","It is fine to keep the dogs in
an apartment. However, they are not very active
indoors. So, it is important that they are provided
taken outside and allowed to play for hours to their
heartâ€™s content. They will not need a yard
for themselves in order to exercise but lot of opportunities
do need to be given for them to work out and stay
healthy and fit. "
132,Jack-Russell-Terrier,"[10, 12]","[10, 12]",[18],"[14, 18]",,
133,Puggle,"[13, 17, 13]","[13, 17, 13]","[18, 30, 8, 17]","[18, 30, 8, 17]","Puggles like kids, so they can make a good family dog. They may be well-suited to being a good dog for a retired couple with lots of time for training.","Puggles need a fenced outdoor area for exploring and sniffing, but watch them so they don't dig under the fence to follow some small animal they think is prey. They will want to live in the house with their people so they can get plenty of play and snuggles."
134,Labrador-X,,,,,,
135,Mixed,,,,,,
136,Dachshund-Mix,,,,,,
137,BORDER-COLLIE,[],[],"[30, 45]","[30, 45]"," Historically, Border Collies
were kept due to their natural inclination
for work and high level of energy. In addition, Border Collies were easy to train due to their above-average level of intelligence. As puppies, they easily
socialize with people and other animals. However, when
Border Collies are house pets, they maintain
the herding instinct. It is not uncommon to
see these dogs attempt to herd small animals,
family members, and even large vehicles into
a specific area of the house or yard. They
will try to herd children out of a swimming
pool! Therefore, these dogs are not suitable for households with small kids.",
138,AUSTRALIAN-SHEPHERD,"[20, 23, 18, 21]","[20, 23, 18, 21]","[50, 65, 29, 40, 55, 25]","[50, 65, 29, 40, 55, 25]","Australian Shepherds can be good with young kids if they're raised with them. But because of their herding instincts, many try to nip at children's heels when they run. Most Aussies can be trained to stop this behavior though. They are more suited to families with older children. ",This breed is not recommended for apartment life. They are moderately active indoors and will do best with at least a large yard. Working lines of this breeds may be too energetic to be suitable pets.
139,Lab,,,,,,
140,Doberman,"[26, 28]","[24, 26]","[60, 85]","[60, 85]",,
141,Fox,,,,,,
142,Sheltie,,,,,,
143,Unknown,,,,,,
144,Cross,,,,,,
145,terrier,,,,,,
146,SPANIEL-X,,,,,,
147,Labrador,,,,,,
148,Pekingese,"[6, 8, 10]","[6, 8, 10]",[],[],Older children and adults are best suited to the breed and they make fine watchdogs as long as barking is kept in check.,
149,hound,,,,,,
150,JACK-RUSSELL-MIX,,,,,,
151,chih,,,,,,
152,dach-mix,,,,,,
153,Bichon,,,,,,
154,Terrier-mix,,,,,,
155,pitbull,,,,,,
156,pointer,"[22, 24, 21, 24]","[22, 24, 21, 24]","[44, 66]","[44, 66]",Pointers are kind and patient with children and other pets. They love to play with other pet.,
157,COCKER-SPANIEL-MIX,,,,,,
158,Malt,,,,,,
159,LABRADOR,,,,,,
160,FOX-TERR-MIX,,,,,,
161,Pointer,"[22, 24, 21, 24]","[22, 24, 21, 24]","[44, 66]","[44, 66]",Pointers are kind and patient with children and other pets. They love to play with other pet.,
162,LHASA-APSO,[],[9],"[14, 18]","[12, 14]","Lhasa Apsos are not tolerant
of children and bond to one person. ",
163,BASENJI,"[16, 17, 43, 15, 16, 41]","[16, 17, 43, 15, 16, 41]","[22, 26, 12, 20, 25, 11]","[22, 26, 12, 20, 25, 11]",,
164,TERR-X,,,,,,
165,TERRIER,,,,,,
166,CATTLE-DOG,,,,,,
167,Golden-Retriever,"[23, 24]","[23, 24]","[65, 75]","[55, 65]",,
168,Labrador-Mix,,,,,,
169,WESTY---X,,,,,,
170,DACHSUND,,,,,,
171,MIX,,,,,,
172,GER,,,,,,
173,BOR-COLL-X,,,,,,
174,chihuahua,"[6, 10]","[6, 10]",[6],[6],,
175,mini-pinscher,,,,,,
176,boxer,"[23, 25]","[21, 23]",[70],[60],,
177,pit-mix,,,,,,
178,Maltese-,,,,,,
179,Poo,,,,,,
180,Miniature-Schnauzer,"[12, 14]","[12, 14]","[12, 14]","[12, 14]",,
181,Silky-Terrier,,,,,,
182,Maltese-Mix,,,,,,
183,SHARPEI,,,,,,
184,PUGGLE,"[13, 17, 13]","[13, 17, 13]","[18, 30, 8, 17]","[18, 30, 8, 17]","Puggles like kids, so they can make a good family dog. They may be well-suited to being a good dog for a retired couple with lots of time for training.","Puggles need a fenced outdoor area for exploring and sniffing, but watch them so they don't dig under the fence to follow some small animal they think is prey. They will want to live in the house with their people so they can get plenty of play and snuggles."
185,LABRADO,,,,,,
186,GREAT-D,,,,,,
187,SHEPHERD-MIX,,,,,,
188,beagle,[],[],"[22, 25, 20, 23]","[22, 25, 20, 23]",,"The Beagle dogs can be kept inside
apartments. These dogs remain active indoors too.
However, they need to be given plenty of chances
to be outdoors. It is better if there is a small
yard set for them to move and play around. "
189,DACHS,,,,,,
190,Germ-Shep,,,,,,
191,shep,,,,,,
192,doxie,,,,,,
193,shit-zu,,,,,,
194,poodle,[3],[3],"[45, 70, 15, 17, 6, 9]","[45, 70, 15, 17, 6, 9]",,
195,Doxen,,,,,,
196,Petit-Basset-Griffon-Vendeen,,,,,,
197,CAIRN,,,,,,
198,yorkie,,,,,,
199,maltese,"[9, 10]","[8, 9]","[4, 7]","[4, 7]",,
200,Pug,"[12, 14]","[10, 12]",[],[],,
201,french-bulldog,[12],[12],"[19, 22, 22, 28]","[19, 22, 22, 28]","By nature, the French Bulldogs are very similar to children. They can clown around all day long just to keep their families entertained. That's why kids and Frenchies are great fit for each other. Their Frenchies' personalities perfectly match playful temperaments and they rarely show any aggression towards kids.","They prefer cooler climates. This
breed is good for apartment life. They can be fairly
active indoors and will do okay without a yard."
202,pug,"[12, 14]","[10, 12]",[],[],,
203,Beagle-X,,,,,,
204,Rottweiler,"[24, 27]","[22, 25]",[100],[88],,
205,Chow-Mix,,,,,,
206,Pomeranian,"[7, 12]","[7, 12]",[],[]," These dogs are good with older children
and are also good companions for the elderly. Teasing often
makes them snappy. ",
207,SHIHTZ,,,,,,
208,POODLE-X,,,,,,
209,Fox-Terrier,,,,,,
210,DACH,,,,,,
211,CAV-KIN,,,,,,
212,German-Shepherd,"[24, 26]","[22, 24]","[75, 90]","[75, 90]",,
213,?,,,,,,
214,SHIH-TZU-MIX,,,,,,
215,CHIHUA,,,,,,
216,TER,,,,,,
217,YORKI,,,,,,
218,golden-retreiver,,,,,,
219,great-prenees,,,,,,
220,Siberian-Husky,[21],"[20, 22]","[45, 60]","[35, 50]",,
221,Coon-Hound,,,,,,
222,lab,,,,,,
223,border-collie-mix,,,,,,
224,ShihTzu,,,,,,
225,Shih-tzu,,,,,,
226,PUG,"[12, 14]","[10, 12]",[],[],,
227,CHIHU,,,,,,
228,G.Shep,,,,,,
229,AUS-SHEPHERD,,,,,,
230,BORDER-COLLIE-MIX,,,,,,
231,Cavalier-King-Charles-mix,,,,,,
232,Catahoula-Leopard,,,,,,
233,Mix,,,,,,
234,Miniature-Poodle,,,,,,
235,Papillion,,,,,,
236,Pointer-Mix,,,,,,
237,Yorkie-Mix,,,,,,
238,dachshund,"[14, 18, 14]","[14, 18, 14]","[20, 8]","[20, 8]",,
239,labrador,,,,,,
240,cattle-dog,,,,,,
241,min-pi-n,,,,,,
242,BICHON-FRISE-MIX,,,,,,
243,PUG-MIX,,,,,,
244,Schnauzer,,,,,,
245,JACK-RUSS-TERR,,,,,,
246,chihuahua-mix,,,,,,
247,Jack-Russel-Terrier--mix,,,,,,
248,Mastiff,[],[],[160],[150],,
249,SCHNZR-X,,,,,,
250,Rescued.-Beagle,,,,,,
251,shih-tzu,,,,,,
252,PERKINGESE,,,,,,
253,DASCHUND-MIX,,,,,,
254,Boston-Terrier,"[15, 17]","[15, 17]","[12, 25]","[12, 25]",,
255,Coton-Detulear,,,,,,
256,POOD,,,,,,
257,CHI,,,,,,
258,DOXEN,,,,,,
259,Mini-Pinscher,,,,,,
260,Chihuahua-Mix,,,,,,
261,BOST-TERR,,,,,,
262,Basenji,"[16, 17, 43, 15, 16, 41]","[16, 17, 43, 15, 16, 41]","[22, 26, 12, 20, 25, 11]","[22, 26, 12, 20, 25, 11]",,
263,whippet,[19],[18],[30],[25],,
264,HEELER,,,,,,
265,COLLIE-MIX,,,,,,
266,hunting-dog,,,,,,
267,rescue,,,,,,
268,Chow,,,,,,
269,AM-ESKIMO,,,,,,
270,Jack-Russell-mix,,,,,,
271,Italian,,,,,,
272,Sicilian-hound,,,,,,
273,Blue-Heeler,,,,,,
274,Schnauser,,,,,,
275,PRYNESE,,,,,,
276,LAB-X,,,,,,
277,GOLDEN-RETRIEVER,"[23, 24]","[23, 24]","[65, 75]","[55, 65]",,
278,Mini-Aussie-Mix,,,,,,
279,Italian-Greyhound,"[13, 15]","[13, 15]","[8, 14]","[8, 14]","The breed dislikes noise or contentious
behavior. As a result, placing this breed in a home
with children is not recommended. However, the breed
will appreciate adolescents or young adults who
aren't boisterous or abusive. The dog should
not be pushed, pulled, or grabbed without warning.","The breed easily adapts to an indoor
environment. This breed can become cold very easily
and needs to live in a home that is free of drafts
and cold temperatures. They will sleep well in a
warm bed located in a temperate home. This breed
responds well to daily exercise and consistent attention;
the dog is known to have a great deal of energy
outdoors. It needs protection from cold when outdoors."
280,BOSTON-TERR,,,,,,
281,MIN-BOXER,,,,,,
282,Retreiver,,,,,,
283,bichon-frise,[],"[9, 11]","[7, 12]","[7, 12]",,
284,Greyhound,"[71, 76]",[68],[30],"[27, 30]",,
285,JACKABEE,,,,,,
286,RUSS,,,,,,
287,Miniature-Pinscher,"[10, 12]","[10, 12]",[],[],,
288,SHIH,,,,,,
289,YELLOW-LAB,,,,,,
290,PAPILLON,"[8, 11]","[8, 11]",[],[],,
291,AMERICAN-ESKIMO,"[9, 12, 12, 15, 15, 19]","[9, 12, 12, 15, 15, 19]","[6, 10, 10, 20, 18, 35]","[6, 10, 10, 20, 18, 35]",,
292,Corgy,,,,,,
293,DACH-MIX,,,,,,
294,boston-terrier,"[15, 17]","[15, 17]","[12, 25]","[12, 25]",,
295,Golden-Retreiver,,,,,,
296,Rat-Terrier,[],[],[],[],,
297,Toy-Poodle-Mix,,,,,,
298,MALTESE-MIX,,,,,,
299,YORKIE-MIX,,,,,,
300,Labrador-Retriever,"[22, 25]","[21, 24]","[60, 80, 100]","[55, 70]",,
301,mix-corgi,,,,,,
302,lab.-retriever,,,,,,
303,BOXER,"[23, 25]","[21, 23]",[70],[60],,
304,PITT,,,,,,
305,YORKSHIRE,,,,,,
306,POODL,,,,,,
307,Ridgeback,,,,,,
308,Shih-Tsu,,,,,,
309,Springer-Terrier-Mix,,,,,,
310,Chocolate-Labrador,,,,,,
311,Border-Collie-Mix,,,,,,
312,SHIBA-INU,[],[],"[20, 30, 23]","[18, 28, 17]",,
313,GERM-SHEPHERD,,,,,,
314,Lab.,,,,,,
315,Maltes,,,,,,
316,WHEATON-TERRIER,,,,,,
317,KING-CHARLES-CHU-MIX,,,,,,
318,BEA,,,,,,
319,GOLD,,,,,,
320,BIUCHON,,,,,,
321,POODLE-MIX,,,,,,
322,TERR--X,,,,,,
323,Pompoo,,,,,,
324,PITBULL-MIXED-RED,,,,,,
325,BLUE-NOSE,,,,,,
326,Lab-Mix,,,,,,
327,CORGI-X,,,,,,
328,AUS-SHEP,,,,,,
329,DACHSHUN,,,,,,
330,spaniel,,,,,,
331,terrier?,,,,,,
332,WESTIE,,,,,,
333,maltese-mix,,,,,,
334,terrier-mix,,,,,,
335,Jack-Russ-Mix,,,,,,
336,YORKISHIRETERRIER,,,,,,
337,MALTESE-MORKIE,,,,,,
338,Fr.Bull-Dog,,,,,,
339,LAB-MIX,,,,,,
340,Jack-Russel,,,,,,
341,GERM-SHEPHERD-MIX,,,,,,
342,Bischon-Mix,,,,,,
343,Cav-King-Ch-Sp,,,,,,
344,Australian-Cattle-Dog,"[17, 21]","[17, 21]","[35, 45]","[35, 45]",,
345,Bichon-Frise,[],"[9, 11]","[7, 12]","[7, 12]",,
346,Poodle-Terrier,,,,,,
347,Retriever-Mixed,,,,,,
348,YorkshireTerrier,,,,,,
349,GOLD-RETR,,,,,,
350,CHOW,,,,,,
351,Schanuzer,,,,,,
352,corgi,,,,,,
353,akita,"[26, 28]","[24, 26]","[75, 100]",[110],,
354,poodle-mix,,,,,,
355,JAP-CHIN,,,,,,
356,Cavalier-King-Charles,,,,,,
357,JACK-RUSS,,,,,,
358,Jack-Russell-Mix,,,,,,
359,Chihuhahu,,,,,,
360,Dogo,,,,,,
361,Pitbull,,,,,,
362,Mini-Poodle-Mix,,,,,,
363,SHEPHERD-X,,,,,,
364,Miniature-Pinscher-Mix,,,,,,
365,Scott-Terr,,,,,,
366,SPANIEL-MIX,,,,,,
367,Bichon-Mix,,,,,,
368,shitzu,,,,,,
369,PIT,,,,,,
370,LAB---X,,,,,,
371,bichon,,,,,,
372,shihtzu,,,,,,
373,SHITZU,,,,,,
374,POM,,,,,,
375,Dalmation,,,,,,
376,Yorkie-Mix---Morkie,,,,,,
377,Pug--(Chug),,,,,,
378,Shitzu,,,,,,
379,SHEPHERD,,,,,,
380,ROTTIX,,,,,,
381,SHARPEI-MIX,,,,,,
382,Akita-Crossbreed,,,,,,
383,Labrador-Retriever-Crossbreed,,,,,,
384,Dachshund-Smooth-Coat,,,,,,
385,"Bull-Dog,-French",,,,,,
386,Dachshund-Smooth-Coat-Miniature,,,,,,
387,German-Shepherd-Dog,,,,,,
388,Cavalier-King-Charles-Spaniel,,,,,,
389,"Poodle,-Standard",,,,,,
390,German-Shorthaired-Pointer,"[23, 25]","[21, 23]","[55, 70]","[45, 60]",,
391,Bull-Terrier,"[20, 24]","[20, 24]",[],[],,
392,"Dachshund,-Long-Haired",,,,,,
393,"Schnauzer,-Miniature",,,,,,
394,Norfolk-Terrier,"[9, 10]","[9, 10]","[10, 12]","[10, 12]",,
395,"Collie,-Border",,,,,,
396,"Poodle,-Miniature",,,,,,
397,Kooikerhondje,,,,,,
398,"Bull-Dog,-English",,,,,,
399,American-Eskimo-dog,,,,,,
400,"Collie,-Smooth-Coat",,,,,,
401,French-Bulldog,[12],[12],"[19, 22, 22, 28]","[19, 22, 22, 28]","By nature, the French Bulldogs are very similar to children. They can clown around all day long just to keep their families entertained. That's why kids and Frenchies are great fit for each other. Their Frenchies' personalities perfectly match playful temperaments and they rarely show any aggression towards kids.","They prefer cooler climates. This
breed is good for apartment life. They can be fairly
active indoors and will do okay without a yard."
402,"Poodle,-Toy",,,,,,
403,Bulldog,"[12, 16, 40]","[12, 16, 40]","[53, 55, 49, 51]","[53, 55, 49, 51]",,
404,Labradoodle,"[21, 24]","[21, 24]",[],"[45, 60, 55, 65]","Labradoodles are great with kids, but they are too overpowering in their strength and energy for young children. If you get one as a puppy and it grows up with young kids, and is taught not to jump on them, it will be great."," Even though Labradoodles are suited to being outdoor dogs, they prefer being indoors with their people. However, they love having a large, fenced yard to run and play or going to a dog park or going on runs or hikes."
405,Shiba-Inu,[],[],"[20, 30, 23]","[18, 28, 17]",,
406,"Dachshund,-Long-Haired-Miniature",,,,,,
407,American-Staffordshire-Terrier,"[17, 19]","[16, 18]","[55, 65]","[45, 55]"," A lively dog, American Staffordshire
Terriers are excellent with children. They are strong
and muscular so are best suited for older children
and adults while training.",
408,German-Shepherd-Crossbreed,,,,,,
409,Chinese-Crested,"[9, 13]","[9, 13]","[5, 10, 12]","[5, 10, 12]",,
410,Anatolian-Shepherd-Dog,,,,,,
411,Manchester-Terrier,"[10, 12]","[10, 12]","[12, 22]","[12, 22]","Small children and non-canine pets that
were introduced while still young should be accepted. Respect should be shown to the petsâ€™ toys and food. ",
412,Border-Terrier,[13],[11],"[13, 16]","[11, 14]",,
413,Vizsla,"[22, 24]","[21, 23]","[46, 60]","[40, 55]"," They are gentle and reliable with children. They love to play with older children. They may be too excitable and energetic for toddlers and young children. This is definitely not a calm dog except when he is sleeping. He can be quite nervous, prancing all around and stepping on children and toys without meaning to do it. "," Vizslas will want to be in the house, but may drive you crazy with their constant movement. They need plenty of outdoor activity."
414,Beagle-Crossbreed,,,,,,
415,Australian-Cattledog,,,,,,
416,Weimaraner,"[24, 27]","[22, 25]","[55, 70]","[50, 65]",,
417,Brussels-Griffon,[],"[7, 8]",[],[],,
418,Wire-Fox-Terrier,[14],"[13, 15]","[14, 18]","[12, 16]",,
419,"Mastiff,-Bull",,,,,,
420,German-Wirehaired-Pointer,"[24, 26]","[22, 24, 22]",[],[],,
421,Shetland-Sheepdog,"[13, 16]","[13, 16]",[],[],,
422,English-Setter,"[24, 27]","[23, 26]","[55, 80]","[45, 70]",,
423,"Welsh-Corgi,-Cardigan",,,,,,
424,Rhodesian-Ridgeback,[25],[24],[80],[65],,
425,Papillon,"[8, 11]","[8, 11]",[],[],,
426,Norwich-Terrier,"[9, 10]","[9, 10]","[10, 12]","[10, 12]"," The Norwich Terrier is good with children. In
fact, they love everyone.
",
427,Wheaton-Terrier,,,,,,
428,Dalmatian,"[22, 24, 20, 22]","[22, 24, 20, 22]",[55],[55],,
429,Cane-Corso,"[25, 27]",[26],"[90, 110]","[80, 100]",,
430,Collie-Crossbreed,,,,,,
431,Belgian-Malinois,,,,,,
432,Toy-Fox-Terrier,,,,,,
433,Miniature-American-Shepherd,,,,,,
434,Standard-Schnauzer,,,,,,
435,Australian-Shepherd,"[20, 23, 18, 21]","[20, 23, 18, 21]","[50, 65, 29, 40, 55, 25]","[50, 65, 29, 40, 55, 25]","Australian Shepherds can be good with young kids if they're raised with them. But because of their herding instincts, many try to nip at children's heels when they run. Most Aussies can be trained to stop this behavior though. They are more suited to families with older children. ",This breed is not recommended for apartment life. They are moderately active indoors and will do best with at least a large yard. Working lines of this breeds may be too energetic to be suitable pets.
436,Bassett-Hound,,,,,,
437,Brittany-Spaniel,,,,,,
438,Staffordshire-Bull-Terrier,"[14, 16]","[13, 15]","[28, 38]","[24, 34]",,
439,"Schnauzer,-Standard",,,,,,
440,American-English-Coonhound,,,,,,
441,Portuguese-Water-Dog,"[20, 22]","[17, 20]","[42, 55]","[35, 49]",,
442,Doberman-Pinscher,,,,,,
443,Scottish-Terrier,"[25, 28, 11]","[25, 28, 11]",[10],[8],"Generally, Scottish Terriers are not recommended for small children or kids. However, when properly socialized with children, Scotties happily act as their protector.",
444,Schipperkee,,,,,,
445,Great-Dane,"[30, 32]","[30, 32]","[120, 200]","[100, 130]"," The breeds are great family dogs
who love children of all ages. They are patient
and gentle with children. They need to be taught
not to lean on people. They love the attention of
all family members and love to play with everyone.
",
446,Newfoundland,[28],[26],"[130, 150]","[100, 120]",,
447,Bouvier-Des-Flandres,,,,,,
448,Bernese-Mountain-Dog,,,,,,
449,"Welsh-Corgi,-Pembroke",,,,,,
450,"Shar-Pei,-Chinese",,,,,,
451,English-Springer-Spaniel,"[18, 21, 20, 19]","[18, 21, 20, 19]","[40, 55]","[40, 55]",,
452,Irish-Terrier,[26],[24],"[65, 75]","[55, 65]",,
453,Cairn-Terrier,,,,,,
454,Tibetan-Spaniel,[10],[10],[],[],,
455,Portuguese-Podengo-Pequeno,,,,,,
456,Welsh-Terrier,[],[],[],[],,
457,Catahoula-Leopard-Dog,,,,,,
458,Bloodhound,[25],[23],"[90, 110]","[80, 100]",,
459,Field-Spaniel,"[17, 19]","[17, 19]","[35, 55]","[35, 55]",,
460,Australian-Kelpie,"[17, 20]","[17, 20]","[25, 45]","[25, 45]",,
461,Parson-Russell-Terrier,"[12, 14, 36]","[12, 14, 36]","[14, 18, 8]","[14, 18, 8]",,
462,West-High-White-Terrier,,,,,,
463,Cotton-De-Tulear,,,,,,
464,Australian-Terrier,"[9, 11, 28]","[9, 11, 28]","[9, 14, 6]","[9, 14, 6]",,
465,"Mastiff,-Old-English",,,,,,
466,Sealyham-Terrier,,,,,,
467,Old-English-Sheepdog,"[20, 24]","[20, 24]",[],[],,
468,"Pointer,-German-Shorthaired",,,,,,
469,Nova-Scotia-Duck-Tolling-Retriever,"[18, 21]","[17, 20]",[],[],,
470,Plott,,,,,,
471,"Collie,-Rough-Coat",,,,,,
472,Lancashire-Heeler,,,,,,
473,Schipperke,"[10, 13]","[10, 13]",[],[],,
474,"Dachshund,-Wirehaired,-Miniature",,,,,,
475,Cardigan-Welsh-Corgi,"[10, 13, 10, 13]","[10, 13, 10, 13]","[25, 30, 25, 30]","[25, 30, 25, 30]",,
